id,marketing_channel,account_creation_method,country_code,loyalty_program,created_on
c91a1024,,,US,1,6/28/20
41fff21c,,,US,1,11/22/21
5a1691f4,,,US,1,8/5/22
6d8d7b2e,,,US,1,8/5/22
e3ee51ef,,,BR,0,8/5/22
48d6a9ab,,,US,0,8/5/22
6708d4f4,,,GB,1,8/5/22
db28a73d,,,US,1,8/5/22
c55e7a43,,,FR,1,6/29/20
69bf8eef,,,US,0,6/29/20
54c3be8c,,,US,0,11/23/21
7bf7e94c,,,US,1,11/23/21
5161adf2,,,PE,1,8/6/22
ea4c1443,,,US,0,8/6/22
e0df0f4f,,,BE,1,3/13/21
15ac5f1a,,,IN,0,11/24/21
81d5a0ce,,,BR,1,8/7/22
c86d264f,,,CH,1,8/7/22
c73c7110,,,NL,1,8/7/22
35c3e629,,,ZA,0,7/1/20
39c328b5,,,US,1,3/14/21
5691bc72,,,FR,1,11/25/21
765179fc,,,US,1,11/25/21
074e41bf,,,FR,1,11/25/21
8dd530f0,,,US,1,8/8/22
825e92d4,,,AU,1,8/8/22
00ff48af,,,JP,0,7/2/20
16f8b29d,,,US,1,8/9/22
74f2845f,,,CA,0,11/27/21
9cc22d59,,,HU,1,8/10/22
12c1974f,,,US,1,8/10/22
42196982,,,US,1,11/28/21
faaa12ae,,,US,1,11/28/21
34372322,,,US,1,7/5/20
2cececd4,,,US,0,8/12/22
593c73b6,,,NO,0,3/19/21
4b0fb6fe,,,PL,0,11/30/21
6f9cf810,,,US,0,7/7/20
fb23ee24,,,US,1,12/1/21
36050c37,,,BR,1,12/1/21
d7e194a0,,,US,1,12/1/21
2c2578b1,,,US,1,8/14/22
d7d59db6,,,GB,0,8/14/22
398d3631,,,US,1,7/8/20
f3493889,,,NZ,0,12/2/21
ab185690,,,US,1,12/2/21
2fd858a8,,,US,0,8/15/22
94b4df98,,,DK,1,3/22/21
94270ad8,,,US,1,12/3/21
f58d8e14,,,US,0,12/3/21
488a0439,,,US,1,8/16/22
94a6f553,,,US,0,8/16/22
9d4edc1a,,,US,1,7/10/20
1f9274f6,,,US,1,12/4/21
945afd52,,,US,1,8/17/22
b75c295f,,,DE,1,12/6/21
bab2550c,,,CA,1,8/19/22
3aa03ecf,,,CA,1,8/19/22
9b3ff44c,,,FR,0,8/19/22
b10b6d49,,,US,0,7/13/20
6be3f8fc,,,NL,1,3/26/21
99181623,,,US,0,12/7/21
6a9a3ba3,,,US,1,12/8/21
f05ec49a,,,US,1,7/15/20
5d2b03c9,,,CA,1,12/9/21
f73ad2cd,,,AU,0,11/3/19
c1c63d2b,,,US,0,7/16/20
8d8569d2,,,IT,1,8/23/22
36899401,,,US,1,8/23/22
2b2dc646,,,OM,0,8/23/22
1d7242dc,,,US,1,12/11/21
25a3aa3b,,,US,0,12/11/21
4d3a8615,,,US,0,3/31/21
49a25c93,,,GB,0,12/12/21
153d653b,,,FI,1,12/12/21
22396e3c,,,FR,0,12/13/21
98cf002c,,,BR,1,8/26/22
88566208,,,KE,1,7/20/20
a1d59114,,,GB,0,7/20/20
e2639e7d,,,US,1,7/21/20
442c72a1,,,US,1,12/15/21
d9f6d518,,,US,1,12/15/21
a58b1650,,,AE,0,12/15/21
5a6345a3,,,JP,0,8/28/22
aa071b34,,,MX,1,8/28/22
1827226f,,,DE,1,4/4/21
25dd85de,,,GB,1,4/4/21
1af32ab7,,,US,1,12/16/21
ebec9992,,,US,1,8/29/22
70207d5f,,,BR,1,4/5/21
f66d4f03,,,US,1,8/30/22
b5e054b6,,,US,0,8/30/22
5c70f852,,,US,1,7/24/20
74735c26,,,NL,0,4/6/21
53299b4b,,,US,1,12/18/21
aa17d8f3,,,DE,1,12/18/21
2dffa4d6,,,US,0,12/18/21
7971ea76,,,US,1,12/19/21
1614be5d,,,HR,1,9/1/22
3127b45b,,,SE,0,9/1/22
c1243a77,,,GB,1,12/20/21
3.69E+268,,,GB,1,9/2/22
38e0bae3,,,US,0,9/2/22
c78dd048,,,US,1,4/9/21
74b10b94,,,US,1,12/21/21
769aa08e,,,US,1,9/3/22
57b996bd,,,US,0,9/3/22
5fe4e093,,,GB,0,7/28/20
8f437ec5,,,US,0,12/22/21
2df059f1,,,RO,1,7/29/20
2cf0796f,,,US,1,12/23/21
1ab29672,,,PA,1,12/23/21
699f6b92,,,GB,0,9/5/22
01beafd8,,,US,0,12/24/21
d0da9716,,,US,1,9/6/22
b7b5e026,,,US,1,9/6/22
d24463d1,,,US,0,12/25/21
7ad26e36,,,JP,1,12/25/21
f4bc4b8b,,,ZA,1,9/7/22
9f91a5e2,,,DE,0,9/7/22
3b866134,,,US,0,12/26/21
18787647,,,PL,1,12/26/21
826f2b69,,,GB,0,9/8/22
0ed58f8b,,,US,1,12/27/21
f0f45754,,,US,1,12/28/21
0bd4f1f6,,,MX,0,9/10/22
f59fde31,,,US,1,9/10/22
19124107,,,US,1,8/5/20
d2086e97,,,US,1,4/18/21
1ba00e6a,,,US,0,12/30/21
f2f0c00a,,,US,0,12/30/21
b090bcd1,,,US,1,12/30/21
37183fe9,,,US,0,9/12/22
182cc0e2,,,US,0,9/12/22
6347bb15,,,GR,1,9/12/22
ee00e017,,,US,1,9/12/22
ab2de8ae,,,US,0,11/24/19
ff5a1089,,,US,0,12/31/21
742c7d5a,,,US,1,12/31/21
eb73afff,,,BR,1,12/31/21
0f5bbc82,,,US,0,4/20/21
f4360632,,,US,1,4/20/21
cde3f901,,,US,1,1/1/22
1211c331,,,US,1,9/14/22
7a6d5c77,,,US,1,9/14/22
91cbf2f0,,,CO,1,1/2/22
f400a573,,,GB,1,1/2/22
bb4d940e,,,ES,1,4/22/21
58efa7e7,,,US,1,1/3/22
56590bfa,,,RO,1,1/3/22
74dd3805,,,US,0,1/3/22
f9cc845c,,,FR,1,1/4/22
735bb5fb,,,CL,0,1/4/22
b6e18f63,,,AE,0,1/5/22
8a3f2126,,,FI,1,1/5/22
a81ab870,,,US,1,1/5/22
e98a7ba2,,,PL,1,1/5/22
6b582994,,,FR,1,9/18/22
82a448ca,,,US,1,1/6/22
1bdf575e,,,CH,1,1/7/22
68ad7d46,,,CA,1,1/7/22
f192e179,,,US,0,9/20/22
c3591057,,,IN,0,9/20/22
e495cb23,,,MA,0,8/14/20
eeaaf17c,,,US,0,1/8/22
0768c6a2,,,US,1,1/8/22
1a94ecb3,,,US,0,9/21/22
cb6dfaf6,,,US,1,9/22/22
981acd43,,,US,0,4/29/21
e2a2aba1,,,GB,1,1/10/22
7f454882,,,US,0,9/23/22
ca6cbb23,,,US,1,12/5/19
74f7b28e,,,AU,0,1/11/22
221f0cdd,,,US,1,1/11/22
d3b06e06,,,US,0,1/11/22
c20a788c,,,US,1,1/11/22
8a9ecdc0,,,MY,1,8/18/20
b053be63,,,BR,0,9/25/22
ec09a512,,,US,1,9/25/22
fd65fdaf,,,US,1,8/19/20
195a2dbd,,,FR,1,1/13/22
cc4ca3df,,,US,0,12/8/19
dcb11916,,,CO,0,8/20/20
58f1fd01,,,CA,1,1/14/22
d9f0098e,,,ES,1,1/14/22
b3532ea3,,,PT,0,1/14/22
16d3302f,,,BR,0,9/27/22
1e1547b7,,,CH,1,9/27/22
cd904267,,,DE,0,9/27/22
cca1facc,,,US,0,5/4/21
164de77e,,,US,0,1/15/22
02130c57,,,US,1,1/15/22
a1ddb998,,,US,0,1/16/22
66568e6b,,,BR,0,1/16/22
84659eeb,,,MX,0,1/16/22
53202840,,,AU,1,1/16/22
3fdf0a39,,,IT,1,1/17/22
d817f211,,,US,1,1/17/22
d65806c7,,,NO,1,1/18/22
76066b6a,,,PT,0,1/18/22
1739a1c1,,,GB,1,10/1/22
e8bfabab,,,BR,1,8/25/20
fa51970b,,,CA,1,1/19/22
55a4b05c,,,GB,1,1/19/22
134b055c,,,PE,1,1/19/22
fd712297,,,BR,0,10/2/22
2a7c6677,,,OM,1,8/26/20
2b659d0b,,,GB,1,1/20/22
440900b2,,,US,1,1/21/22
9009e910,,,AU,1,1/21/22
018b6882,,,US,1,10/4/22
d8e86ebc,,,US,0,10/5/22
34d2b14e,,,BR,0,1/23/22
62f0cd6e,,,US,1,10/6/22
27479018,,,US,0,1/24/22
25d93336,,,US,0,5/14/21
defbe961,,,CA,1,5/14/21
039424bc,,,GB,0,1/25/22
a382c164,,,GB,1,10/8/22
be89d22f,,,US,0,10/8/22
a5a69222,,,BR,1,10/8/22
2d004e27,,,US,1,9/1/20
5ab9fa30,,,US,1,1/26/22
116d9f54,,,DK,1,10/9/22
87752396,,,US,1,5/16/21
b51db3a1,,,SG,1,1/27/22
93a348c0,,,US,0,1/28/22
b413429e,,,BR,0,1/28/22
f7323661,,,US,0,1/28/22
ca7c6022,,,MX,1,5/18/21
2ddaac12,,,MX,0,1/29/22
6c796c99,,,US,1,1/29/22
27fb35e8,,,US,0,10/12/22
fbe0faf6,,,US,0,9/5/20
23f3bf2e,,,JP,0,1/30/22
3c2ff150,,,US,1,1/30/22
3f8ebf2d,,,US,0,1/31/22
3f293542,,,US,0,1/31/22
d1517601,,,PR,0,1/31/22
03b2d265,,,US,0,12/26/19
fcb6f385,,,US,1,2/1/22
89719002,,,IT,1,2/2/22
5e7178cd,,,DE,0,2/2/22
96e01f13,,,US,0,10/16/22
b3fb7d5d,,,CO,0,2/3/22
2a4a5140,,,US,1,2/3/22
ca504e97,,,AU,1,2/4/22
d3ce1594,,,HU,1,12/30/19
e588c4d7,,,NZ,1,2/5/22
8a890ea0,,,GB,1,10/19/22
ac085107,,,IT,0,12/31/19
75c01126,,,AU,1,5/27/21
0d424380,,,US,1,2/7/22
37766faa,,,KE,0,10/21/22
0dd67300,,,GB,0,5/29/21
6f32ccf6,,,US,1,2/9/22
1cf4af06,,,PT,0,2/9/22
3993aed6,,,GB,1,10/23/22
94a041c9,,,US,0,9/16/20
0a01fa33,,,SG,1,9/17/20
f5ed2896,,,US,1,2/11/22
c35be535,,,US,0,2/11/22
d0838933,,,US,1,2/11/22
c296eede,,,US,0,2/11/22
2073c201,,,US,0,10/25/22
23c4cede,,,US,1,10/25/22
8bb3d8b6,,,AU,0,10/25/22
a94815e5,,,US,0,9/18/20
7631534,,,US,1,10/26/22
6eb8a464,,,US,0,2/13/22
0ede4150,,,US,1,6/3/21
5fcfaa63,,,CA,0,1/9/20
d54c2ccd,,,TN,1,6/4/21
66305b37,,,US,1,2/15/22
e64fd5f4,,,US,0,1/10/20
c0542265,,,IT,1,10/30/22
9cb40ec3,,,PE,0,10/30/22
5d8bb8f3,,,GB,1,2/17/22
7879953d,,,CA,1,11/1/22
ca097232,,,MX,1,1/13/20
030a6e9d,,,AT,0,6/8/21
7734d711,,,US,1,6/9/21
7122648d,,,US,1,2/20/22
57ffb923,,,CH,1,2/20/22
e278a2a8,,,US,1,9/27/20
fe75a9f5,,,US,0,2/21/22
61ed5d97,,,PA,1,2/21/22
1340d312,,,IT,0,11/4/22
c06ee414,,,AU,1,2/22/22
ea995e24,,,CA,0,2/22/22
1bf0fb90,,,IL,1,2/23/22
2e091711,,,US,1,11/6/22
794a6e59,,,US,1,2/24/22
7ac7236e,,,US,1,2/24/22
a5cb7287,,,US,1,2/24/22
a892639f,,,US,1,2/25/22
05de0bcb,,,US,1,2/25/22
04b3a634,,,US,0,2/25/22
02738a94,,,GB,1,2/25/22
cde70f4f,,,US,0,2/26/22
28e70faa,,,US,1,2/26/22
d8087a69,,,NL,0,2/27/22
8418726e,,,US,1,2/27/22
8c9a092d,,,US,1,2/27/22
b4284980,,,AU,1,2/28/22
9e7fb502,,,CA,0,2/28/22
42b2524e,,,NZ,0,2/28/22
1a943381,,,CA,1,10/5/20
5dadb80c,,,US,1,3/1/22
04f8e38b,,,FI,1,11/12/22
ca85eaa8,,,PA,1,3/2/22
ae3facfb,,,US,0,3/2/22
acd0e56e,,,HU,0,3/2/22
de2dbac1,,,CA,0,3/2/22
54143228,,,ES,1,3/2/22
3007e3ad,,,JP,0,3/3/22
c23d4bb0,,,MX,0,3/3/22
3bc2b43b,,,MX,1,3/3/22
c2d10150,,,PL,1,3/4/22
b47f96da,,,US,0,3/4/22
2d2d5d46,,,US,1,3/4/22
bbf80df8,,,CH,1,3/4/22
5bd3c26c,,,GB,0,3/4/22
c101d345,,,QA,0,3/4/22
c11d565b,,,DK,1,3/4/22
09d0a54a,,,US,0,3/5/22
366e819e,,,US,0,3/6/22
0facf345,,,GB,1,3/6/22
a0258f74,,,AU,1,3/6/22
58e89595,,,DK,1,3/7/22
957ec924,,,FR,1,3/7/22
0c46858f,,,AU,0,3/7/22
b3aba52f,,,US,1,3/7/22
06dcf2fa,,,ES,0,11/18/22
df8fb8dc,,,US,1,10/12/20
1abce430,,,CA,1,6/25/21
cc08cc9e,,,US,1,3/8/22
d989c50e,,,US,1,6/26/21
c9bf6be4,,,GB,0,3/9/22
038cfb11,,,MX,0,3/9/22
b89a1e41,,,US,1,3/9/22
d0c8fa3f,,,GB,1,3/9/22
934598b3,,,US,0,2/1/20
7a05b9ed,,,DE,1,10/14/20
eadb7035,,,CH,1,3/10/22
f05e31f6,,,US,1,3/10/22
55e81b52,,,SG,1,6/28/21
ce4587ba,,,US,0,3/11/22
a51b890d,,,AU,0,2/3/20
83bcab04,,,BR,0,3/12/22
7d621b84,,,US,1,3/12/22
074d85f3,,,US,1,2/4/20
43c1f3fb,,,US,0,2/4/20
081253c2,,,US,1,6/30/21
db84302a,,,BE,0,3/13/22
c53c4341,,,GB,0,3/14/22
9.88E+28,,,US,1,3/14/22
69cb1f40,,,US,0,3/14/22
b297e286,,,US,1,3/14/22
707d4ce5,,,DE,1,3/14/22
1a479bc8,,,GB,0,10/19/20
2380a262,,,DE,1,3/15/22
aedef5a0,,,KR,1,11/26/22
7720dccd,,,IL,0,3/16/22
1790be5a,,,US,0,3/16/22
d7a684a9,,,AU,1,3/16/22
f865096b,,,HU,1,10/21/20
bf1827ed,,,BR,0,7/4/21
87338269,,,GB,1,7/4/21
071560a9,,,US,1,3/17/22
971aa165,,,US,1,3/17/22
f7b54fb7,,,US,1,10/22/20
ccb4d019,,,GB,1,3/18/22
b5823ecb,,,US,1,3/18/22
9ef76c79,,,GE,0,3/19/22
da90734e,,,US,1,10/24/20
038a85ae,,,US,1,3/20/22
bb6b56ce,,,ZA,1,3/20/22
f4ba6f13,,,US,0,3/20/22
0e1a9980,,,GB,0,3/20/22
abdf6f75,,,US,1,3/20/22
75d78620,,,IL,1,3/20/22
ec5a06fb,,,US,1,10/25/20
d567ee8c,,,US,0,3/21/22
d364f55d,,,CA,0,3/21/22
13dc5da0,,,DK,0,3/21/22
0d462f1d,,,JP,0,3/21/22
fe013970,,,JP,0,2/13/20
877d673c,,,IE,1,10/26/20
acc38b9b,,,US,0,3/22/22
e9ff698f,,,US,1,3/22/22
92f2115e,,,DE,1,3/22/22
e1c47285,,,GB,0,3/23/22
4bc56c74,,,US,1,3/23/22
51940b39,,,US,1,3/23/22
10d73457,,,US,1,7/11/21
baf4e87f,,,MX,1,3/24/22
09e7f11f,,,US,0,3/24/22
55b27e14,,,BR,0,3/24/22
493d5d32,,,AU,1,3/24/22
aac28110,,,US,1,10/29/20
d863643f,,,IT,1,3/25/22
9f34692b,,,GB,1,10/30/20
56e9deb0,,,US,0,3/26/22
f7691bc6,,,GB,0,10/31/20
2d3f2553,,,CA,0,3/27/22
49041f84,,,US,0,3/27/22
a5de6909,,,CL,1,3/27/22
91b546b0,,,BE,0,7/15/21
043c0179,,,US,0,7/15/21
28e49f22,,,US,1,3/28/22
d94521cc,,,NL,0,3/28/22
fdf20d57,,,ES,0,3/28/22
895cfac6,,,JP,0,2/20/20
f20b3ee4,,,US,1,3/29/22
6714030000,,,US,1,3/29/22
27950627,,,US,1,3/29/22
e7efc839,,,UY,1,2/21/20
878e2936,,,AU,0,3/30/22
70680b07,,,US,1,3/30/22
af20122f,,,US,1,3/30/22
f7336db3,,,IL,0,11/4/20
89e1ba6a,,,US,1,3/31/22
120efabc,,,DK,0,3/31/22
e796bfcf,,,US,1,3/31/22
143acb01,,,US,1,3/31/22
dc88aeec,,,LK,0,7/19/21
551daa82,,,US,1,4/1/22
342b6ca7,,,PH,0,4/1/22
11049586,,,US,0,4/1/22
b2df82d6,,,US,1,11/6/20
c5a486e6,,,US,1,11/6/20
19186a2c,,,US,1,11/6/20
5b7e53d5,,,US,0,4/2/22
07841f26,,,US,0,4/2/22
f0f503b7,,,BR,0,4/2/22
f10d5e9f,,,US,1,4/3/22
aa780cdd,,,US,1,4/3/22
b7e0e54a,,,US,1,4/3/22
34328a78,,,US,1,4/3/22
81d88437,,,BR,0,4/3/22
fa29d3d4,,,CA,1,4/4/22
98497cac,,,US,1,11/9/20
8c32cf5e,,,AU,1,4/5/22
e78cefdf,,,BR,0,4/5/22
e6373dc7,,,US,1,4/6/22
7bbc6ba5,,,US,1,4/6/22
90f68cef,,,DE,0,4/6/22
809bfe47,,,US,1,4/6/22
c3f807e1,,,US,1,11/11/20
956de75f,,,GB,0,4/8/22
fee88c1b,,,US,1,4/8/22
bd200cae,,,US,1,4/9/22
daeec291,,,US,0,4/9/22
b48ea492,,,GB,1,4/9/22
a296db13,,,DE,1,4/9/22
37d9f6d5,,,US,1,4/9/22
50736cfe,,,AU,0,4/9/22
b2bf4eca,,,US,1,3/3/20
d0987a20,,,US,0,4/10/22
06b08aa0,,,HK,0,4/10/22
1946ebd9,,,GB,1,7/29/21
8145cf3d,,,IN,1,7/29/21
5c6a5d34,,,US,1,4/11/22
25458597,,,US,0,11/16/20
7162508a,,,GB,1,4/12/22
a58c50ac,,,TW,1,4/12/22
3ad34ef5,,,US,0,4/12/22
2c052a29,,,US,1,4/12/22
fe8c51a5,,,US,0,4/12/22
f06e032c,,,US,1,3/6/20
d8bb552c,,,US,1,7/31/21
60ac6dc3,,,GB,1,7/31/21
7.89E+12,,,UA,0,4/13/22
373b5ba0,,,GB,1,8/1/21
4c3d3125,,,UY,1,4/14/22
9683918a,,,US,1,4/14/22
c0f58f9b,,,NL,1,4/14/22
57572376,,,CO,1,4/14/22
6cf2d26d,,,US,1,4/14/22
05114f32,,,US,0,4/14/22
e74a06c3,,,CZ,1,4/15/22
9a22d007,,,DE,1,4/15/22
8e4b2d26,,,DE,0,4/15/22
d2115106,,,US,0,4/15/22
0d952006,,,US,1,11/20/20
567f7a80,,,CL,0,4/16/22
3b20c7d7,,,US,1,4/16/22
f32dde93,,,JP,1,4/16/22
7ca7ee6d,,,HK,1,4/16/22
49497799,,,US,1,4/17/22
0a1442d7,,,MX,0,4/17/22
a1ee9f3f,,,GB,1,11/22/20
4d3e80e8,,,ES,0,4/18/22
e53cb58b,,,US,1,4/18/22
b2c33257,,,US,0,4/18/22
676ba5ef,,,US,1,4/18/22
fa5eebb8,,,DE,0,4/18/22
221af45a,,,IE,0,4/18/22
b069b81c,,,TH,1,11/23/20
125ef16f,,,US,0,4/19/22
77962655,,,US,1,4/19/22
da22170b,,,CA,0,4/19/22
37b43db5,,,US,1,4/20/22
1c5472aa,,,DK,0,4/20/22
d0e2d0fc,,,CA,1,8/8/21
7d505437,,,US,1,4/21/22
fb0f2b41,,,EG,1,3/15/20
9141b684,,,DK,0,11/26/20
01055ac2,,,US,0,11/26/20
9d92c74f,,,AU,1,11/26/20
63f5d51d,,,US,0,4/22/22
dec489cd,,,US,0,4/22/22
a4ff28a4,,,US,0,4/22/22
a4c6738d,,,US,1,3/16/20
d50f2875,,,US,1,11/27/20
258fdcd1,,,BE,1,11/27/20
a5929681,,,KE,1,8/10/21
e5769103,,,US,0,4/23/22
8b078c89,,,US,0,4/23/22
1d7466ad,,,US,0,4/24/22
6fd279a8,,,RO,0,4/24/22
ff7d07e1,,,KY,0,3/18/20
d4a37b8a,,,US,1,3/18/20
d983a31f,,,US,1,11/29/20
ccd9ff8f,,,US,0,11/29/20
f6857c34,,,NZ,1,4/25/22
74ab57b2,,,US,1,4/25/22
cc830ec3,,,US,1,3/19/20
b57510d1,,,PE,1,8/13/21
1393c4a7,,,CA,0,4/26/22
38c37129,,,AU,0,4/26/22
0b31be0d,,,CA,1,4/26/22
00c3caa7,,,GB,1,4/26/22
9ed53cd1,,,NZ,0,4/26/22
2564c44f,,,GB,1,3/20/20
be600df3,,,US,1,3/20/20
3bb95472,,,US,1,4/27/22
9ef5fd47,,,US,0,4/27/22
6db53e0e,,,US,1,4/27/22
55ac673f,,,PR,0,4/27/22
1a00e22d,,,US,0,12/2/20
6bd38552,,,GB,1,8/15/21
926c1eb9,,,DE,1,4/28/22
cfc81def,,,AU,1,4/28/22
586413c6,,,AU,1,4/28/22
8ca6caa5,,,ES,1,4/28/22
ede7f2f5,,,KR,0,4/29/22
ca343c43,,,KR,1,4/29/22
5eb2e79b,,,US,0,4/29/22
aab9f3ed,,,TR,0,4/29/22
6cfffd17,,,AU,0,4/29/22
48954606,,,US,0,4/29/22
e834fb57,,,GB,0,4/29/22
8b2f0484,,,SG,0,4/29/22
76c0dae3,,,CH,0,3/23/20
191f706f,,,PE,1,3/23/20
656d5b6d,,,IN,0,4/30/22
bc58a32b,,,GB,1,4/30/22
a698705d,,,ES,1,4/30/22
2a421c2d,,,US,1,3/24/20
994cbf4f,,,US,0,5/1/22
90227505,,,PT,0,5/1/22
1b9893e4,,,US,0,3/25/20
32b32cbc,,,KZ,1,12/6/20
abf11586,,,US,0,12/6/20
e1aa6709,,,US,1,5/2/22
87f7c258,,,AU,1,5/3/22
59932441,,,US,1,5/3/22
30bcfd84,,,US,1,5/3/22
9b19f268,,,US,1,5/3/22
2b0f9edf,,,US,1,5/3/22
b6b25998,,,PE,0,12/8/20
61a4b58c,,,CA,0,3/28/20
0be58adc,,,CR,0,12/9/20
a02c8b03,,,GB,1,5/5/22
bbd9f2ff,,,JP,1,5/6/22
23301ab6,,,BR,1,5/6/22
5dccd33c,,,US,1,5/6/22
07fee694,,,US,1,5/6/22
b4d18259,,,CL,1,5/6/22
608ea427,,,GB,0,3/30/20
4d3c8edc,,,IN,0,12/11/20
6a991edb,,,US,1,5/7/22
11d939b8,,,GB,1,12/12/20
0835c7fb,,,EG,0,5/8/22
b1b8c804,,,US,0,5/8/22
2b12f219,,,US,0,5/9/22
f9a16c48,,,US,1,5/9/22
872b3617,,,US,1,12/14/20
f8a696ff,,,CA,1,12/14/20
ebb8d117,,,US,1,8/27/21
cc23973a,,,CZ,0,5/10/22
cac6d804,,,US,0,5/10/22
cb56295c,,,US,1,5/10/22
39ec665e,,,SE,1,5/10/22
715367b6,,,US,0,5/10/22
6151838d,,,US,1,12/15/20
22e14ddc,,,US,1,5/11/22
2acfa3e9,,,US,0,5/11/22
3cded1a2,,,US,1,5/11/22
c4a40a17,,,US,1,5/12/22
c6cfb866,,,CA,0,5/12/22
2b46134c,,,US,1,5/12/22
e5bcf72d,,,US,0,5/12/22
11ec0aff,,,US,1,5/13/22
b9d80288,,,US,1,4/6/20
4337f27f,,,EG,0,5/14/22
cab1d94f,,,TR,0,5/14/22
4c6c26e6,,,UY,1,5/14/22
7c9be664,,,SI,0,5/15/22
5e8a077a,,,NO,1,12/20/20
683aa0f8,,,US,0,5/16/22
05698b17,,,US,1,5/16/22
dbfd81e9,,,US,0,5/16/22
87993022,,,US,1,5/16/22
aa42eb01,,,CA,0,5/16/22
aa871dd3,,,US,0,5/16/22
8772c820,,,CA,1,12/21/20
ee5b4dc5,,,US,1,5/17/22
81a7a6d9,,,US,0,5/17/22
574aa353,,,EG,0,12/22/20
65cc41fa,,,NZ,1,5/18/22
ccbfc10a,,,KR,0,5/18/22
585d2534,,,US,0,5/19/22
dfc5358b,,,CL,1,5/19/22
b1e99880,,,US,1,5/19/22
1d875520,,,IT,1,5/19/22
1a675f3b,,,US,1,5/19/22
4052881c,,,US,0,4/12/20
a6e894c4,,,CA,1,12/24/20
02099d34,,,NL,0,9/6/21
06f578fe,,,MX,1,5/20/22
2c48bddd,,,TR,0,5/20/22
79b51780,,,MY,1,5/20/22
dc6d9433,,,US,1,5/20/22
136f335e,,,MX,0,5/20/22
c6af4108,,,US,0,4/13/20
e3e877a2,,,US,1,12/25/20
7e4afa75,,,US,0,5/21/22
